(1047666900, -35696845)
(1513277838, 375266807)
(-2497196353, -50439954)
(-2444853149, 774227595)
(1574915999, -287531952)
(952767424, 237654498)
(1496675700, 18396950)
(1725944942, -372594248)
(879454912, -399783779)
(330260278, -310259742)
(-1109835654, -285725456)
(-158619411, -862754877)
(-1051763669, -843579874)
(-290797799, -411890190)
(-1571926783, -354188204)
(445364023, 1231646569)
(-383468422, 710379976)
(931586644, -195780798)
(1602320493, 588575644)
(322275535, 490061176)
(-1484159176, -685080460)
(-975180806, 198135049)
(-162368024, 289954806)
(-1986877468, 200378132)
(372502287, -676917785)
(-116984991, -1283550792)
(-678693673, 300936069)
(-452078473, 1279625317)
(-93346883, 440561291)
(142750985, 150631567)
(-908354724, 16996010)
(-11667348, -175262434)
(-379426563, -1266901883)
(-50399298, -1032599746)
(825653986, 277331000)
(-693218159, -657340880)
(1197450726, 146742786)
(109152597, -707431879)
(156086354, -358624618)
(-132018702, -444035561)
(-231835968, -124945480)
(446586845, -180767543)
(-333512431, -76356052)
(-933102757, 449190268)
(317691022, -533518596)
(1587660505, -1068216625)
(95143854, 1468818657)
(23758073, -434458319)
(352685628, 219496515)
(2365069598, 214313731)
(930194695, 603862530)
(816084845, -219561633)
(19847278, 2414373013)
(30668456, 253961761)
(151327375, -757522805)
(1139044222, -2214231385)
(114217, -1469181387)
(-10586809, -1163186710)
(-264057148, 638127197)
(-197429976, 434974786)
(-1456950486, -3333857101)
(-4806666955, 159115544)
(-641902876, 639876295)
(-1125689732, -543835562)
(23310207, 2423950631)
(1064341825, -880591648)
(-346708081, 65092455)
(333070623, -351660177)
(38164487, -128254702)
(1020152695, -269759821)
(1171404266, 438538814)
(1830707262, -1190992926)
(368301518, 264521308)
(645839292, 129114032)
(654882993, 145202457)
(86700677, 1829954779)
(730320204, 1752406402)
(591693451, 394501502)
(-396194899, 68438924)
(-441780573, -459972953)
(-448155751, -1077133103)
(-274278953, 432592620)
(-1409947942, 233190188)
(-97186641, 212508950)
(-2004352806, -1181152272)
(500695040, -546021798)
(878114564, 156440823)
(997751407, -675085920)
(333877574, 1843550340)
(649443473, -519669512)
(249081928, -823664754)
(-615945101, -1529407331)
(-629824891, -21448758)
(-1026994185, -96248806)
(-1133094359, 863734015)
(-775033872, 295246061)
(-454112289, -21910410)
(-602590939, 1111668776)
(-1452423099, 2696085587)
(120106924, -765528360)
(-765507789, -1211982288)
(706296140, -411146242)
(-1174379515, 305158649)
(272687408, -2208351706)
(-65624607, -1060074781)
(-90117781, 1499202629)
(-364703190, 1503960526)
(303740736, 1149842200)
(187085691, 3616744520)
(95329739, -1653360951)
(239509116, -796387523)
(461844466, 19849533)
(-144222472, 591195999)
(61944732, 454793898)
(-85553082, 638633313)
(-315579299, 1841332079)
(2477707815, -251465015)
(542558525, 83806420)
(1210633768, -335987057)
